ID;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;Competitors
317;Data Engineer;$75K-$143K (Glassdoor est.);4.4;SpringML;Herndon, VA;Pleasanton, CA;1 to 50 employees;2015;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1
318;Staff Data Engineer;$105K-$194K (Glassdoor est.);3.8;Sumo Logic;Austin, TX;Redwood City, CA;501 to 1000 employees;2010;Company - Private;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;Splunk, Datadog, Elastic
319;Associate Data Engineer;$45K-$86K (Glassdoor est.);3.5;EAB;Washington, DC;Washington, DC;1001 to 5000 employees;2007;Company - Private;Research & Development;Business Services;Unknown / Non-Applicable;-1
320;Senior Data Scientist;$95K-$154K (Glassdoor est.);3.5;Brighthouse Financial;Charlotte, NC;Charlotte, NC;1001 to 5000 employees;2017;Company - Public;Insurance Carriers;Insurance;Unknown / Non-Applicable;-1
321;Staff BI and Data Engineer;$80K-$148K (Glassdoor est.);2.9;Affinity Solutions;San Jose, CA;New York, NY;51 to 200 employees;1998;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;Commerce Signals, Cardlytics, Yodlee
322;Marketing Data Analyst;$36K-$62K (Glassdoor est.);3.9;Citadel Federal Credit Union;Exton, PA;Exton, PA;501 to 1000 employees;1937;Nonprofit Organization;Banks & Credit Unions;Finance;Unknown / Non-Applicable;TruMark Financial, North Island Credit Union, CommunityAmerica Credit Union
323;Principal Scientist, Hematology;$54K-$115K (Glassdoor est.);3.3;Rochester Regional Health;Rochester, NY;Rochester, NY;10000+ employees;2014;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);-1
324;Data Analyst;$50K-$92K (Glassdoor est.);3.7;CALIBRE Systems;Alexandria, VA;Alexandria, VA;501 to 1000 employees;1989;Company - Private;IT Services;Information Technology;$100 to $500 million (USD);CSC, Booz Allen Hamilton, ManTech
325;Director - Data, Privacy and AI Governance;$67K-$135K (Glassdoor est.);3.6;MassMutual;Boston, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
326;Data Scientist;$82K-$132K (Glassdoor est.);3.5;Esri;Redlands, CA;Redlands, CA;1001 to 5000 employees;1969;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);Pitney Bowes
327;Data Scientist;$85K-$140K (Glassdoor est.);4.7;New England Biolabs;Ipswich, MA;Ipswich, MA;201 to 500 employees;1974;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;Thermo Fisher Scientific, Enzymatics, Illumina
328;Staff Machine Learning Engineer;$138K-$224K (Glassdoor est.);3.9;Tapjoy;San Francisco, CA;San Francisco, CA;201 to 500 employees;2007;Company - Private;Internet;Information Technology;$10 to $25 million (USD);FLURRY, Chartboost
329;Information Security Data Analyst;$42K-$80K (Glassdoor est.);3.7;Motorola Solutions;Chicago, IL;Chicago, IL;10000+ employees;1928;Company - Public;Computer Hardware & Software;Information Technology;$5 to $10 billion (USD);Cisco Systems, Huawei Technologies, IBM
330;Lead Data Engineer;$190K-$220K(Employer est.);4.1;Credit Sesame;Mountain View, CA;Mountain View, CA;51 to 200 employees;2010;Company - Private;Internet;Information Technology;$50 to $100 million (USD);Credit Karma, LendUp, SoFi
331;Scientist Manufacturing - Kentucky BioProcessing;$68K-$139K (Glassdoor est.);3.1;Reynolds American;Owensboro, KY;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
332;Data Analytics Project Manager;$34K-$92K (Glassdoor est.);3.6;MassMutual;Springfield, MA;Springfield, MA;5001 to 10000 employees;1851;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);-1
333;Consultant - Analytics Consulting;$54K-$71K (Glassdoor est.);3;Infosys;Hartford, CT;Bengaluru, India;10000+ employees;1981;Company - Public;IT Services;Information Technology;$10+ billion (USD);Tata Consultancy Services, Accenture, Cognizant Technology Solutions
334;Data Engineer;$65K-$124K (Glassdoor est.);3.5;Alignment Healthcare;Orange, CA;Orange, CA;501 to 1000 employees;2013;Company - Private;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;-1
335;Marketing Data Analyst;$35K-$62K (Glassdoor est.);3.6;San Manuel Casino;Highland, CA;Highland, CA;1001 to 5000 employees;1986;Company - Private;Gambling;Arts, Entertainment & Recreation;$100 to $500 million (USD);-1
336;Senior Scientist (Neuroscience);$109K-$200K (Glassdoor est.);3.5;Sunovion;Marlborough, MA;Marlborough, MA;1001 to 5000 employees;2010;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD);Shire, GlaxoSmithKline, Allergan
337;Medical Laboratory Scientist;$18-$25 Per Hour(Glassdoor est.);4;Texas Health Huguley Hospital;Burleson, TX;Arlington, TX;1001 to 5000 employees;1977;Hospital;Health Care Services & Hospitals;Health Care;$50 to $100 million (USD);-1
338;Machine Learning Engineer - Regulatory;$61K-$113K (Glassdoor est.);3.7;Cboe Global Markets;Lenexa, KS;Chicago, IL;501 to 1000 employees;1973;Company - Public;Stock Exchanges;Finance;$500 million to $1 billion (USD);-1
339;R&D Specialist/ Food Scientist;$39K-$66K (Glassdoor est.);2.4;Teasdale Latin Foods;Hoopeston, IL;Flower Mound, TX;501 to 1000 employees;-1;Company - Private;Food & Beverage Manufacturing;Manufacturing;$100 to $500 million (USD);-1
340;Data Engineer;$43K-$86K (Glassdoor est.);3.2;Guidepoint;New York, NY;New York, NY;501 to 1000 employees;2003;Company - Private;Research & Development;Business Services;Unknown / Non-Applicable;Coleman Research, AlphaSights, Third Bridge
341;Scientist, Bacteriology;$74K-$149K (Glassdoor est.);2.1;Cerus Corporation;Concord, CA;Concord, CA;201 to 500 employees;-1;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$25 to $50 million (USD);-1
342;Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence;$113K-$196K (Glassdoor est.);3.7;Takeda Pharmaceuticals;Cambridge, MA;OSAKA, Japan;10000+ employees;1781;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer
343;Senior Research Scientist-Machine Learning;$81K-$167K (Glassdoor est.);2.6;Software Engineering Institute;Pittsburgh, PA;Pittsburgh, PA;501 to 1000 employees;1984;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;-1
344;Senior Data Scientist;$97K-$160K (Glassdoor est.);4.4;Maven Wave Partners;Chicago, IL;Chicago, IL;201 to 500 employees;2008;Company - Private;Consulting;Business Services;$50 to $100 million (USD);-1
345;Clinical Laboratory Scientist;$24-$39 Per Hour(Glassdoor est.);3.7;Vail Health;Vail, CO;Vail, CO;501 to 1000 employees;1966;Hospital;Health Care Services & Hospitals;Health Care;$100 to $500 million (USD);-1
346;Analytics Manager - Data Mart;$42K-$86K (Glassdoor est.);3.5;Central California Alliance for Health;Scotts Valley, CA;Scotts Valley, CA;501 to 1000 employees;1996;Nonprofit Organization;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD);-1
347;Sr. Data Engineer - Contract-to-Hire (Java);$69K-$127K (Glassdoor est.);3;Pilot Flying J Travel Centers LLC;Knoxville, TN;Knoxville, TN;10000+ employees;1958;Company - Private;Gas Stations;Retail;$10+ billion (USD);TravelCenters of America, Love's Travel Stops & Country Stores, Wawa
348;Data Scientist - Algorithms & Inference;$110K-$175K (Glassdoor est.);4.2;Nuna;San Francisco, CA;San Francisco, CA;51 to 200 employees;2010;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable;-1
349;Senior Data Scientist - R&D Oncology;$102K-$172K (Glassdoor est.);3.9;AstraZeneca;New York, NY;Cambridge, United Kingdom;10000+ employees;1913;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Roche, GlaxoSmithKline, Novartis
350;Data Engineer;$74K-$124K (Glassdoor est.);4;Pinnacol Assurance;Denver, CO;Denver, CO;501 to 1000 employees;1915;Nonprofit Organization;Insurance Carriers;Insurance;$500 million to $1 billion (USD);-1
351;Food Scientist - Developer;$40K-$68K (Glassdoor est.);3.3;Palermo's Pizza;Milwaukee, WI;Milwaukee, WI;501 to 1000 employees;1964;Company - Private;Food & Beverage Manufacturing;Manufacturing;Unknown / Non-Applicable;-1
352;Senior Data Scientist;$108K-$171K (Glassdoor est.);4.4;MathWorks;Natick, MA;Natick, MA;1001 to 5000 employees;1984;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD);-1
353;Data Engineer;$76K-$142K (Glassdoor est.);3.4;MetroStar Systems;Rockville, MD;Reston, VA;201 to 500 employees;1999;Company - Private;IT Services;Information Technology;$25 to $50 million (USD);-1
354;Director II, Data Science - GRM Actuarial;$202K-$306K (Glassdoor est.);3.3;Liberty Mutual Insurance;Chicago, IL;Boston, MA;10000+ employees;1912;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);Travelers, Allstate, State Farm
355;Scientist, Molecular/Cellular Biologist;$49K-$97K (Glassdoor est.);2.9;Audentes Therapeutics;South San Francisco, CA;San Francisco, CA;201 to 500 employees;2012;Subsidiary or Business Segment;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable;BioMarin Pharmaceutical, Sangamo Therapeutics, bluebird bio
356;Staff Scientist-Downstream Process Development;$49K-$113K (Glassdoor est.);2.7;Advanced BioScience Laboratories;Rockville, MD;Rockville, MD;201 to 500 employees;1961;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$25 to $50 million (USD);-1
357;MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB;$21-$34 Per Hour(Glassdoor est.);3.6;Beebe Healthcare;Millville, DE;Lewes, DE;1001 to 5000 employees;1935;Nonprofit Organization;Health Care Services & Hospitals;Health Care;$100 to $500 million (USD);-1
358;Scientist - Analytical Services;$65K-$134K (Glassdoor est.);3.1;Reynolds American;Winston-Salem, NC;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);-1
359;Associate Data Analyst- Graduate Development Program;$32K-$59K (Glassdoor est.);3.3;National Interstate;Richfield, OH;Richfield, OH;501 to 1000 employees;1989;Company - Private;Insurance Carriers;Insurance;$500 million to $1 billion (USD);-1
