ID,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
308,0,0,48,93,70.5, LA,0,-1,0,0,0,0,1
309,0,0,56,97,76.5, WA,1,55,1,0,0,0,0
310,0,0,65,119,92, MA,1,169,1,0,1,0,1
311,0,0,108,173,140.5, UT,1,7,1,0,0,1,0
312,0,0,63,101,82, VA,0,51,1,0,0,0,0
313,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
314,0,0,90,179,134.5, MA,1,7,0,0,0,0,0
315,0,0,127,202,164.5, CA,1,12,0,0,0,0,0
316,0,0,31,57,44, FL,1,29,0,0,0,0,0
317,0,0,60,127,93.5, MD,1,18,0,0,0,0,1
318,0,0,75,143,109, VA,0,5,1,0,1,0,0
319,0,0,105,194,149.5, TX,0,10,0,0,1,1,0
320,0,0,45,86,65.5, DC,1,13,0,0,1,1,1
321,0,0,95,154,124.5, NC,1,3,1,0,1,0,1
322,0,0,80,148,114, CA,0,22,1,0,1,0,0
323,0,0,36,62,49, PA,1,83,1,0,0,0,0
324,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
325,0,0,50,92,71, VA,1,31,0,0,0,0,1
326,0,0,67,135,101, MA,0,169,0,0,0,0,0
327,0,0,82,132,107, CA,1,51,1,0,1,1,0
328,0,0,85,140,112.5, MA,1,46,1,0,0,0,1
329,0,0,138,224,181, CA,1,13,1,0,1,0,0
330,0,0,42,80,61, IL,1,92,1,0,1,0,0
331,0,0,190,220,205, CA,1,10,1,0,1,1,0
332,0,0,68,139,103.5, KY,0,145,0,0,0,0,0
333,0,0,34,92,63, MA,1,169,0,0,0,0,1
334,0,0,54,71,62.5, CT,0,39,0,0,0,0,1
335,0,0,65,124,94.5, CA,1,7,1,0,1,1,1
336,0,0,35,62,48.5, CA,1,34,0,0,0,0,1
337,0,0,109,200,154.5, MA,1,10,1,0,0,0,1
338,1,0,18,25,21.5, TX,0,43,0,0,0,1,0
339,0,0,61,113,87, KS,0,47,1,0,0,0,1
340,0,0,39,66,52.5, IL,0,-1,0,0,0,0,0
341,0,0,43,86,64.5, NY,1,17,1,0,0,1,1
342,0,0,74,149,111.5, CA,1,-1,0,0,0,0,1
343,0,0,113,196,154.5, MA,0,239,0,0,1,1,1
