Column1;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue
0;Data Scientist;$53K-$91K (Glassdoor est.);3.8;Tecolote Research 3.8;Albuquerque, NM;Goleta, CA;501 to 1000 employees;1973;Company - Private;Aerospace & Defense;Aerospace & Defense;$50 to $100 million (USD)
1;Healthcare Data Scientist;$63K-$112K (Glassdoor est.);3.4;University of Maryland Medical System 3.4;Linthicum, MD;Baltimore, MD;10000+ employees;1984;Other Organization;Health Care Services & Hospitals;Health Care;$2 to $5 billion (USD)
2;Data Scientist;$80K-$90K (Glassdoor est.);4.8;KnowBe4 4.8;Clearwater, FL;Clearwater, FL;501 to 1000 employees;2010;Company - Private;Security Services;Business Services;$100 to $500 million (USD)
3;Data Scientist;$56K-$97K (Glassdoor est.);3.8;PNNL 3.8;Richland, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD)
4;Data Scientist;$86K-$143K (Glassdoor est.);2.9;Affinity Solutions 2.9;New York, NY;New York, NY;51 to 200 employees;1998;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable
5;Data Scientist;$71K-$119K (Glassdoor est.);3.4;CyrusOne 3.4;Dallas, TX;Dallas, TX;201 to 500 employees;2000;Company - Public;Real Estate;Real Estate;$1 to $2 billion (USD)
6;Data Scientist;$54K-$93K (Glassdoor est.);4.1;ClearOne Advantage 4.1;Baltimore, MD;Baltimore, MD;501 to 1000 employees;2008;Company - Private;Banks & Credit Unions;Finance;Unknown / Non-Applicable
7;Data Scientist;$86K-$142K (Glassdoor est.);3.8;Logic20/20 3.8;San Jose, CA;Seattle, WA;201 to 500 employees;2005;Company - Private;Consulting;Business Services;$25 to $50 million (USD)
8;Research Scientist;$38K-$84K (Glassdoor est.);3.3;Rochester Regional Health 3.3;Rochester, NY;Rochester, NY;10000+ employees;2014;Hospital;Health Care Services & Hospitals;Health Care;$500 million to $1 billion (USD)
9;Data Scientist;$120K-$160K (Glassdoor est.);4.6;<intent>;New York, NY;New York, NY;51 to 200 employees;2009;Company - Private;Internet;Information Technology;$100 to $500 million (USD)
10;Data Scientist;$126K-$201K (Glassdoor est.);3.5;Wish;San Jose, CA;San Francisco, CA;501 to 1000 employees;2011;Company - Private;Other Retail Stores;Retail;$1 to $2 billion (USD)
11;Data Scientist;$64K-$106K (Glassdoor est.);4.1;ManTech;Chantilly, VA;Herndon, VA;5001 to 10000 employees;1968;Company - Public;Research & Development;Business Services;$1 to $2 billion (USD)
12;Staff Data Scientist - Technology;$106K-$172K (Glassdoor est.);3.2;Walmart;Plano, TX;Bentonville, AR;10000+ employees;1962;Company - Public;Department, Clothing, & Shoe Stores;Retail;$10+ billion (USD)
13;Data Analyst;$46K-$85K (Glassdoor est.);4.1;Yesler;Seattle, WA;Seattle, WA;201 to 500 employees;2012;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable
14;Data Scientist;$83K-$144K (Glassdoor est.);3.7;Takeda Pharmaceuticals;Cambridge, MA;OSAKA, Japan;10000+ employees;1781;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD)
15;Data Engineer I;$102K-$190K (Glassdoor est.);3.6;Audible;Newark, NJ;Newark, NJ;1001 to 5000 employees;1995;Subsidiary or Business Segment;Motion Picture Production & Distribution;Media;Unknown / Non-Applicable
16;Scientist I/II, Biology;$67K-$137K (Glassdoor est.);3.9;Blueprint Medicines;Cambridge, MA;Cambridge, MA;51 to 200 employees;2011;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $5 million (USD)
17;Customer Data Scientist;$118K-$189K (Glassdoor est.);4.3;h2o.ai;Mountain View, CA;Mountain View, CA;201 to 500 employees;2011;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable
18;Data Scientist - Health Data Analytics;$110K-$175K (Glassdoor est.);4.2;Nuna;San Francisco, CA;San Francisco, CA;51 to 200 employees;2010;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable
19;Data Scientist;$64K-$111K (Glassdoor est.);4;Pinnacol Assurance;Denver, CO;Denver, CO;501 to 1000 employees;1915;Nonprofit Organization;Insurance Carriers;Insurance;$500 million to $1 billion (USD)
20;Data Scientist;$81K-$130K (Glassdoor est.);3.2;Porch;Seattle, WA;Seattle, WA;201 to 500 employees;2012;Company - Private;Internet;Information Technology;Unknown / Non-Applicable
21;Senior Data Scientist / Machine Learning;$73K-$119K (Glassdoor est.);3.9;Health IQ;Dallas, TX;Mountain View, CA;201 to 500 employees;2013;Company - Private;Insurance Agencies & Brokerages;Insurance;Unknown / Non-Applicable
22;Data Scientist - Quantitative;$86K-$139K (Glassdoor est.);3.8;Truckstop.com;Chicago, IL;New Plymouth, ID;501 to 1000 employees;1995;Company - Private;Logistics & Supply Chain;Transportation & Logistics;Unknown / Non-Applicable
23;Data Scientist;$63K-$105K (Glassdoor est.);4.3;SMC 3;Louisville, KY;Peachtree City, GA;51 to 200 employees;1935;Nonprofit Organization;Logistics & Supply Chain;Transportation & Logistics;$10 to $25 million (USD)
24;Data Scientist;$109K-$177K (Glassdoor est.);4;Novetta;Herndon, VA;Mc Lean, VA;501 to 1000 employees;2012;Company - Private;Enterprise Software & Network Solutions;Information Technology;$100 to $500 million (USD)
25;Digital Health Data Scientist;$63K-$110K (Glassdoor est.);4;Pfizer;Cambridge, MA;New York, NY;10000+ employees;1849;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD)
26;Data Scientist;$75K-$124K (Glassdoor est.);3.5;First Tech Federal Credit Union;Hillsboro, OR;San Jose, CA;1001 to 5000 employees;1952;Company - Private;Banks & Credit Unions;Finance;$100 to $500 million (USD)
27;Associate Data Analyst;$34K-$61K (Glassdoor est.);3.7;The Hanover Insurance Group;Worcester, MA;Worcester, MA;5001 to 10000 employees;1852;Company - Public;Insurance Carriers;Insurance;$5 to $10 billion (USD)
28;Clinical Data Scientist;$63K-$105K (Glassdoor est.);4;Pfizer;Groton, CT;New York, NY;10000+ employees;1849;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD)
29;Data Scientist;$80K-$90K (Glassdoor est.);4.8;KnowBe4;Clearwater, FL;Clearwater, FL;501 to 1000 employees;2010;Company - Private;Security Services;Business Services;$100 to $500 million (USD)
30;Data Scientist;$56K-$97K (Glassdoor est.);3.8;PNNL;Richland, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD)
31;Data Scientist;$72K-$120K (Glassdoor est.);3.6;Amrock;Detroit, MI;Detroit, MI;1001 to 5000 employees;1997;Company - Private;Real Estate;Real Estate;$500 million to $1 billion (USD)
32;Data Scientist / Machine Learning Expert;$86K-$143K (Glassdoor est.);3.8;Novartis;Cambridge, MA;Basel, Switzerland;10000+ employees;1996;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD)
33;Data Scientist;$93K-$149K (Glassdoor est.);3.8;Juniper Networks;Sunnyvale, CA;Sunnyvale, CA;5001 to 10000 employees;1996;Company - Public;Telecommunications Services;Telecommunications;$2 to $5 billion (USD)
34;Data Scientist;$85K-$140K (Glassdoor est.);4.7;New England Biolabs;Ipswich, MA;Ipswich, MA;201 to 500 employees;1974;Company - Private;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;Unknown / Non-Applicable
35;Web Data Analyst;$77K-$135K (Glassdoor est.);4.2;Clarity Insights;San Jose, CA;Chicago, IL;201 to 500 employees;2008;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable
36;Data Scientist;$82K-$132K (Glassdoor est.);3.5;Esri;Redlands, CA;Redlands, CA;1001 to 5000 employees;1969;Company - Private;Computer Hardware & Software;Information Technology;$1 to $2 billion (USD)
37;Data Scientist;$83K-$137K (Glassdoor est.);4.7;Systems & Technology Research;Woburn, MA;Woburn, MA;201 to 500 employees;2010;Company - Private;Aerospace & Defense;Aerospace & Defense;$100 to $500 million (USD)
38;Senior Data Scientist;$115K-$180K (Glassdoor est.);3.5;Sartorius;Fremont, CA;Gottingen, Germany;5001 to 10000 employees;1870;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$1 to $2 billion (USD)
39;Data Engineer;$74K-$138K (Glassdoor est.);3.5;Lancer Insurance;Long Beach, NY;Long Beach, NY;201 to 500 employees;1985;Company - Private;Insurance Carriers;Insurance;$100 to $500 million (USD)
40;Data Analyst;$64K-$112K (Glassdoor est.);4.2;Sauce Labs;San Francisco, CA;San Francisco, CA;201 to 500 employees;2008;Company - Private;IT Services;Information Technology;$50 to $100 million (USD)
41;Data Engineer;$68K-$129K (Glassdoor est.);3.6;Persivia;Marlborough, MA;Lowell, MA;1 to 50 employees;-1;Company - Private;-1;-1;Less than $1 million (USD)
42;Data Scientist - Algorithms & Inference;$110K-$175K (Glassdoor est.);4.2;Nuna;San Francisco, CA;San Francisco, CA;51 to 200 employees;2010;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable
43;Scientist;$52K-$113K (Glassdoor est.);3.4;Edgewell Personal Care;Allendale, NJ;Shelton, CT;5001 to 10000 employees;2015;Company - Public;Consumer Products Manufacturing;Manufacturing;$2 to $5 billion (USD)
44;Senior Data Scientist;$110K-$150K(Employer est.);4.3;Equity Residential;Chicago, IL;Chicago, IL;1001 to 5000 employees;1993;Company - Public;Real Estate;Real Estate;$2 to $5 billion (USD)
45;Data Scientist;Employer Provided Salary:$150K-$160K;5;BPA Services;Washington, DC;Alexandria, VA;Unknown;-1;Company - Private;Enterprise Software & Network Solutions;Information Technology;Unknown / Non-Applicable
